DAY,REGION,CUSTOMER_TYPE,BATTERY_ACTION,ACTION_COUNT,TOTAL_IMPORT_KWH,TOTAL_EXPORT_KWH,TOTAL_IMPORT_COST_EUR,TOTAL_EXPORT_REVENUE_EUR,TOTAL_NET_MARGIN_EUR,TOTAL_CUSTOMER_MARGIN_EUR,TOTAL_EPOWER_MARGIN_EUR
2026-04-10,East,Gewerbekunde,DISCHARGE,1232,102.9,3686.5,14.1209,671.6434,657.5225,460.2685,197.2623
2026-04-10,East,Gewerbekunde,SELF_CONSUME,2992,1770.7,1475.5,178.4807,163.8207,-14.66,-10.2651,-4.3976
2026-04-10,East,Kleingewerbe,DISCHARGE,4228,329.9,12925.5,45.3091,2342.9722,2297.6631,1608.3771,689.3209
2026-04-10,East,Kleingewerbe,SELF_CONSUME,10268,5712.9,5459.3,573.3866,604.8413,31.4547,22.0144,9.4479
2026-04-10,East,Privatkunde,DISCHARGE,17164,1480.8,52129.6,203.6196,9437.6729,9234.0533,6463.8914,2770.2883
2026-04-10,East,Privatkunde,SELF_CONSUME,41684,23213.2,21768.8,2330.7609,2408.0043,77.2434,54.0448,23.2099
2026-04-10,North,Gewerbekunde,DISCHARGE,1876,165.8,5765.9,22.8184,1043.8682,1021.0498,714.741,306.3224
2026-04-10,North,Gewerbekunde,SELF_CONSUME,4556,2615.4,2334.5,263.1784,257.8224,-5.356,-3.7548,-1.6053
2026-04-10,North,Kleingewerbe,DISCHARGE,4508,375.7,13814.9,51.6605,2503.8787,2452.2182,1716.5697,735.6852
2026-04-10,North,Kleingewerbe,SELF_CONSUME,10948,5908.3,5762.3,592.3576,637.9054,45.5478,31.8703,13.6758
2026-04-10,North,Privatkunde,DISCHARGE,19208,1571.6,58683.2,216.3914,10660.6204,10444.229,7311.0155,3133.3558
2026-04-10,North,Privatkunde,SELF_CONSUME,46648,25560,24228.8,2562.7732,2685.6081,122.8349,85.9444,36.8878
2026-04-10,South,Gewerbekunde,DISCHARGE,2100,177.5,6347.4,24.3327,1150.8107,1126.478,788.5413,337.9528
2026-04-10,South,Gewerbekunde,SELF_CONSUME,5100,2864.1,2777,287.1701,305.9094,18.7393,13.1144,5.6258
2026-04-10,South,Kleingewerbe,DISCHARGE,5936,516.1,18234.6,71.0134,3316.3027,3245.2893,2271.7207,973.6137
2026-04-10,South,Kleingewerbe,SELF_CONSUME,14416,7796.3,7499,787.178,827.6447,40.4667,28.3059,12.1512
2026-04-10,South,Privatkunde,DISCHARGE,23380,1998.1,71347.4,275.1277,12935.8065,12660.6788,8862.5466,3798.2998
2026-04-10,South,Privatkunde,SELF_CONSUME,56780,31208.3,29751,3131.8769,3290.9511,159.0742,111.317,47.7713
2026-04-10,West,Gewerbekunde,DISCHARGE,2212,178.8,6739.8,24.714,1221.6795,1196.9655,837.8838,359.0994
2026-04-10,West,Gewerbekunde,SELF_CONSUME,5372,2874,2850.6,287.3453,316.4741,29.1288,20.3829,8.7441
2026-04-10,West,Kleingewerbe,DISCHARGE,5992,481.8,18284.6,66.1019,3315.4122,3249.3103,2274.538,974.8129
2026-04-10,West,Kleingewerbe,SELF_CONSUME,14552,8224.2,7517.8,826.9867,833.8993,6.9126,4.8304,2.0899
2026-04-10,West,Privatkunde,DISCHARGE,25340,2152.5,76953.3,296.4082,13973.9917,13677.5835,9574.3818,4103.3859
2026-04-10,West,Privatkunde,SELF_CONSUME,61540,34041.1,31541.9,3415.6363,3498.1494,82.5131,57.7133,24.8074
2026-04-11,East,Gewerbekunde,CHARGE,924,2260.4,101.3,74.4678,6.1882,-68.2796,-47.796,-20.484
2026-04-11,East,Gewerbekunde,MAX_CHARGE,1276,5430.2,0,-204.2404,0,204.2404,142.9681,61.272
2026-04-11,East,Gewerbekunde,SELF_CONSUME,2024,1228.2,749.9,112.6072,69.1878,-43.4194,-30.3946,-13.0276
2026-04-11,East,Kleingewerbe,CHARGE,3171,8125.1,352.5,270.4985,20.9035,-249.595,-174.7121,-74.8819
2026-04-11,East,Kleingewerbe,MAX_CHARGE,4379,18645,0,-697.796,0,697.796,488.4534,209.3418
2026-04-11,East,Kleingewerbe,SELF_CONSUME,6946,4398.7,2257.5,400.3936,209.1618,-191.2318,-133.8634,-57.3781
2026-04-11,East,Privatkunde,CHARGE,12873,31945.2,1379.2,1059.2186,82.348,-976.8706,-683.7934,-293.0661
2026-04-11,East,Privatkunde,MAX_CHARGE,17777,75687,0,-2833.8274,0,2833.8274,1983.6606,850.1644
2026-04-11,East,Privatkunde,SELF_CONSUME,28198,17778.6,9058,1622.5604,843.3763,-779.1841,-545.4234,-233.7597
2026-04-11,North,Gewerbekunde,CHARGE,1407,3604.6,167.5,120.6408,9.9172,-110.7236,-77.5036,-33.2185
2026-04-11,North,Gewerbekunde,MAX_CHARGE,1943,8279.2,0,-309.4042,0,309.4042,216.5813,92.8228
2026-04-11,North,Gewerbekunde,SELF_CONSUME,3082,1936.6,954.9,178.6771,87.0238,-91.6533,-64.1561,-27.4954
2026-04-11,North,Kleingewerbe,CHARGE,3381,8434,343.9,280.3896,20.5248,-259.8648,-181.9018,-77.9618
