DAY,REGION,CUSTOMER_TYPE,ACTIVE_VPP_DEVICES,AVG_BATTERY_SOC_PCT,AVG_SOLAR_KW,NET_GRID_KWH,AVG_PRICE_EUR_MWH,TOTAL_CUSTOMER_MARGIN_EUR,TOTAL_EPOWER_MARGIN_EUR,TOTAL_NET_MARGIN_EUR
2026-04-10,East,Gewerbekunde,44,45.851325758,1.866373106,-3288.4,123.458854167,450.0034,192.8647,642.8625
2026-04-10,East,Kleingewerbe,151,45.718543046,1.845262141,-12342,123.458854167,1630.3915,698.7688,2329.1178
2026-04-10,East,Privatkunde,613,45.856647635,1.851328167,-49204.4,123.458854167,6517.9362,2793.4982,9311.2967
2026-04-10,North,Gewerbekunde,67,45.928482587,1.876486318,-5319.2,123.458854167,710.9862,304.7171,1015.6938
2026-04-10,North,Kleingewerbe,161,45.733695652,1.854249482,-13293.2,123.458854167,1748.44,749.361,2497.766
2026-04-10,North,Privatkunde,686,45.921586492,1.864782556,-55780.4,123.458854167,7396.9599,3170.2436,10567.0639
2026-04-10,South,Gewerbekunde,75,45.963333333,1.833838889,-6082.8,123.458854167,801.6557,343.5786,1145.2173
2026-04-10,South,Kleingewerbe,212,45.757861635,1.899058569,-17421.2,123.458854167,2300.0266,985.7649,3285.756
2026-04-10,South,Privatkunde,835,45.791067864,1.859933633,-67892,123.458854167,8973.8636,3846.0711,12819.753
2026-04-10,West,Gewerbekunde,79,45.791139241,1.840100211,-6537.6,123.458854167,858.2667,367.8435,1226.0943
2026-04-10,West,Kleingewerbe,214,45.795950156,1.852760903,-17096.4,123.458854167,2279.3684,976.9028,3256.2229
2026-04-10,West,Privatkunde,905,45.914502762,1.868430939,-72301.6,123.458854167,9632.0951,4128.1933,13760.0966
2026-04-11,East,Gewerbekunde,44,69.869318182,1.849232955,8067.6,42.1740625,64.7775,27.7604,92.5414
2026-04-11,East,Kleingewerbe,151,70.082505519,1.821034768,28558.8,42.1740625,179.8779,77.0818,256.9692
2026-04-11,East,Privatkunde,613,69.971859706,1.85317292,114973.6,42.1740625,754.4438,323.3386,1077.7727
2026-04-11,North,Gewerbekunde,67,69.847014925,1.89318408,12698,42.1740625,74.9216,32.1089,107.0273
2026-04-11,North,Kleingewerbe,161,69.931418219,1.853649068,30247.2,42.1740625,202.2055,86.6557,288.8504
2026-04-11,North,Privatkunde,686,69.791362974,1.859075559,129259.6,42.1740625,811.5783,347.8062,1159.3803
2026-04-11,South,Gewerbekunde,75,69.857777778,1.800905556,13952.4,42.1740625,104.8566,44.9354,149.7946
2026-04-11,South,Kleingewerbe,212,70.088246855,1.874131289,39644.8,42.1740625,266.6124,114.2605,380.8749
2026-04-11,South,Privatkunde,835,69.91761477,1.864772455,156759.2,42.1740625,1028.2633,440.6765,1468.9292
2026-04-11,West,Gewerbekunde,79,69.962025316,1.844303797,14805.6,42.1740625,93.5051,40.0772,133.5823
2026-04-11,West,Kleingewerbe,214,69.942951713,1.875936526,40386.4,42.1740625,259.1848,111.0837,370.2637
2026-04-11,West,Privatkunde,905,69.966436464,1.844732505,170372,42.1740625,1096.3467,469.8611,1566.1689
2026-04-12,East,Gewerbekunde,44,58.285984848,1.814753788,2509.2,82.9490625,130.5134,55.94,186.4431
2026-04-12,East,Kleingewerbe,151,58.375827815,1.831801876,8947.2,82.9490625,418.8992,179.5505,598.4195
2026-04-12,East,Privatkunde,613,58.419725394,1.87651373,37228.4,82.9490625,1652.5763,708.3361,2360.8143
2026-04-12,North,Gewerbekunde,67,58.84141791,1.889583333,3991.2,82.9490625,190.9858,81.8598,272.8344
2026-04-12,North,Kleingewerbe,161,58.56547619,1.860478778,9725.2,82.9490625,439.0875,188.2102,627.2699
2026-04-12,North,Privatkunde,686,58.41952138,1.864942906,41604,82.9490625,1855.8498,795.4679,2651.1902
2026-04-12,South,Gewerbekunde,75,58.513888889,1.887972222,4620.4,82.9490625,203.2099,87.0995,290.298
2026-04-12,South,Kleingewerbe,212,58.582154088,1.869663915,12933.2,82.9490625,568.9791,243.8855,812.8242
2026-04-12,South,Privatkunde,835,58.433882236,1.855159681,50902.4,82.9490625,2213.6094,948.8213,3162.287
2026-04-12,West,Gewerbekunde,79,58.767932489,1.86375,4682.4,82.9490625,224.9194,96.4118,321.3147
2026-04-12,West,Kleingewerbe,214,58.292250779,1.835029206,12551.6,82.9490625,605.3892,259.4903,864.8437
2026-04-12,West,Privatkunde,905,58.417955801,1.866140884,53510,82.9490625,2547.9003,1092.1025,3639.8531
2026-04-13,East,Gewerbekunde,44,43.363636364,1.847765152,-4652.4,127.443229167,516.9353,221.5501,738.4728
2026-04-13,East,Kleingewerbe,151,43.244757174,1.861269316,-16925.6,127.443229167,1860.8732,797.5349,2658.3644
2026-04-13,East,Privatkunde,613,43.010671561,1.884647227,-67586.8,127.443229167,7417.0644,3178.7923,10595.7281
2026-04-13,North,Gewerbekunde,67,43.437810945,1.859894279,-7534.4,127.443229167,826.4702,354.2082,1180.6627
2026-04-13,North,Kleingewerbe,161,43.287784679,1.86427795,-17288.8,127.443229167,1910.6366,818.8683,2729.468
2026-04-13,North,Privatkunde,686,43.164662293,1.84566448,-76191.2,127.443229167,8358.9991,3582.4941,11941.3434
2026-04-13,South,Gewerbekunde,75,43.026111111,1.881016667,-8496.4,127.443229167,929.5095,398.3693,1327.862
2026-04-13,South,Kleingewerbe,212,43.238600629,1.812659198,-23918,127.443229167,2616.0847,1121.1936,3737.2375
2026-04-13,South,Privatkunde,835,43.19500998,1.865897206,-92539.2,127.443229167,10131.2496,4342.0408,14473.0767
2026-04-13,West,Gewerbekunde,79,43.286919831,1.889077004,-8595.6,127.443229167,949.684,407.0142,1356.6808
2026-04-13,West,Kleingewerbe,214,43.14038162,1.843658489,-23797.6,127.443229167,2612.0628,1119.4736,3731.4867
2026-04-13,West,Privatkunde,905,43.163581952,1.872553407,-100367.6,127.443229167,11003.8175,4716.0079,15719.6398
2026-04-14,East,Gewerbekunde,44,40.723484848,1.853996212,-6228.8,138.434479167,738.1436,316.3469,1054.4864
2026-04-14,East,Kleingewerbe,151,40.318708609,1.878267108,-21090.8,138.434479167,2500.4942,1071.6483,3572.1349
2026-04-14,East,Privatkunde,613,40.527052746,1.869967374,-86696.8,138.434479167,10281.3412,4406.3034,14687.6036
2026-04-14,North,Gewerbekunde,67,40.133084577,1.873743781,-9740.4,138.434479167,1153.6509,494.421,1648.0753
2026-04-14,North,Kleingewerbe,161,40.805900621,1.849875776,-22842.8,138.434479167,2710.2776,1161.5529,3871.8146
2026-04-14,North,Privatkunde,686,40.505648688,1.849767371,-98067.6,138.434479167,11635.9412,4986.8365,16622.7718
2026-04-14,South,Gewerbekunde,75,40.456111111,1.8093,-10392.4,138.434479167,1239.3696,531.1582,1770.522
2026-04-14,South,Kleingewerbe,212,40.717767296,1.844031053,-30156.4,138.434479167,3572.7006,1531.1468,5103.8454
2026-04-14,South,Privatkunde,835,40.507784431,1.869472555,-117469.2,138.434479167,13970.9233,5987.543,19958.4037
2026-04-14,West,Gewerbekunde,79,40.650316456,1.873132911,-11380.8,138.434479167,1347.0355,577.297,1924.3269
2026-04-14,West,Kleingewerbe,214,40.621495327,1.838732477,-29848,138.434479167,3552.8413,1522.646,5075.4789
2026-04-14,West,Privatkunde,905,40.577302026,1.852689227,-127477.2,138.434479167,15127.467,6483.1953,21610.6356
2026-04-15,East,Gewerbekunde,44,48.079545455,1.853731061,-2766.8,116.261875,428.0307,183.449,611.4702
2026-04-15,East,Kleingewerbe,151,47.807671082,1.856225166,-9039.6,116.261875,1425.2465,610.8326,2036.045
2026-04-15,East,Privatkunde,613,47.74211528,1.864669657,-36771.2,116.261875,5814.1053,2491.8068,8305.8074
2026-04-15,North,Gewerbekunde,67,48.060945274,1.867245025,-3871.6,116.261875,622.3159,266.7122,889.0127
2026-04-15,North,Kleingewerbe,161,47.54684265,1.883540373,-9459.2,116.261875,1517.3738,650.3222,2167.6658
2026-04-15,North,Privatkunde,686,47.83776725,1.858644315,-41438,116.261875,6544.0951,2804.6835,9348.6548
2026-04-15,South,Gewerbekunde,75,47.558333333,1.857594444,-4210.4,116.261875,690.7871,296.0592,986.8338
2026-04-15,South,Kleingewerbe,212,47.756485849,1.863040487,-12580.8,116.261875,2007.5601,860.4047,2867.9253
2026-04-15,South,Privatkunde,835,47.73992016,1.862958084,-50521.2,116.261875,7981.0066,3420.5205,11401.3629
2026-04-15,West,Gewerbekunde,79,47.731540084,1.843117089,-4862.4,116.261875,750.2926,321.5609,1071.8433
2026-04-15,West,Kleingewerbe,214,47.732281931,1.87831581,-12656,116.261875,2019.9223,865.7039,2885.5867
2026-04-15,West,Privatkunde,905,47.664180479,1.873015193,-53830.8,116.261875,8537.2963,3658.9301,12196.0497
2026-04-16,East,Gewerbekunde,44,48.016098485,1.855757576,-2615.2,111.9196875,414.8281,177.7877,592.6163
2026-04-16,East,Kleingewerbe,151,47.642384106,1.823429912,-9192,111.9196875,1428.1392,612.0775,2040.2221
2026-04-16,East,Privatkunde,613,47.662792278,1.864407287,-35977.2,111.9196875,5670.6226,2430.3428,8100.9275
2026-04-16,North,Gewerbekunde,67,47.618781095,1.847966418,-3892,111.9196875,618.1239,264.9165,883.0379
2026-04-16,North,Kleingewerbe,161,47.453416149,1.860188923,-9479.6,111.9196875,1486.5203,637.1054,2123.6097
2026-04-16,North,Privatkunde,686,47.754433916,1.881562804,-40491.2,111.9196875,6367.8293,2729.1437,9096.932
2026-04-16,South,Gewerbekunde,75,47.715,1.840672222,-4276,111.9196875,681.8989,292.2476,974.1459
2026-04-16,South,Kleingewerbe,212,47.632272013,1.880461871,-12628.4,111.9196875,1960.7516,840.3413,2801.0815
2026-04-16,South,Privatkunde,835,47.748153693,1.863937625,-50351.2,111.9196875,7851.2052,3364.8843,11216.0454
2026-04-16,West,Gewerbekunde,79,47.632911392,1.851097046,-4334.8,111.9196875,702.2123,300.9536,1003.1639
2026-04-16,West,Kleingewerbe,214,47.610202492,1.882044393,-12671.2,111.9196875,1984.1667,850.3812,2834.5435
